,date,open,close,high,low,volume,code
0,2010-06-02,967.609,997.119,997.12,952.61,1074627.0,cyb
1,2010-06-03,1002.355,998.394,1026.7,997.77,1616805.0,cyb
2,2010-06-04,989.681,1027.681,1027.68,986.5,1500295.0,cyb
3,2010-06-07,1005.028,1069.468,1075.22,1001.7,2655275.0,cyb
4,2010-06-08,1067.324,1067.154,1075.5,1050.96,1976720.0,cyb
5,2010-06-09,1070.852,1077.823,1102.1,1069.43,2541568.0,cyb
6,2010-06-10,1077.675,1117.478,1119.11,1076.28,2197404.0,cyb
7,2010-06-11,1122.443,1122.199,1128.23,1118.71,2224874.0,cyb
8,2010-06-17,1126.13,1064.839,1129.68,1064.84,1764283.0,cyb
9,2010-06-18,1052.067,1000.277,1053.14,993.17,1630650.0,cyb
10,2010-06-21,991.957,1040.802,1043.16,976.41,1574797.0,cyb
11,2010-06-22,1037.039,1034.995,1057.37,1033.65,1427162.0,cyb
12,2010-06-23,1026.865,1047.337,1056.35,1023.74,1257359.0,cyb
13,2010-06-24,1046.759,1050.601,1059.75,1041.54,1069132.0,cyb
14,2010-06-25,1046.212,1016.283,1046.21,999.16,1237298.0,cyb
15,2010-06-28,1009.223,987.827,1014.41,984.22,920673.0,cyb
16,2010-06-29,985.572,913.309,992.23,912.54,1497799.0,cyb
17,2010-06-30,898.291,919.314,921.81,881.36,1223661.0,cyb
18,2010-07-01,914.395,882.19,921.21,882.19,1049572.0,cyb
19,2010-07-02,878.951,873.12,885.34,832.62,1288833.0,cyb
20,2010-07-05,857.369,862.268,870.86,842.73,915864.0,cyb
21,2010-07-06,859.258,893.718,898.45,857.8,1165231.0,cyb
22,2010-07-07,896.532,908.549,908.55,890.34,1046162.0,cyb
23,2010-07-08,911.997,905.509,914.3,887.03,1098087.0,cyb
24,2010-07-09,903.496,932.147,936.53,896.89,1451460.0,cyb
25,2010-07-12,931.53,930.17,941.07,924.06,1263600.0,cyb
26,2010-07-13,924.948,931.08,936.64,906.3,1468657.0,cyb
27,2010-07-14,929.749,922.362,937.93,916.07,1423586.0,cyb
28,2010-07-15,920.046,892.557,930.55,892.56,1175880.0,cyb
29,2010-07-16,885.067,892.298,895.06,869.02,1009312.0,cyb
30,2010-07-19,881.656,908.049,910.18,878.07,938802.0,cyb
31,2010-07-20,909.543,937.017,937.54,909.54,1365808.0,cyb
32,2010-07-21,940.097,941.25,959.04,938.16,1665745.0,cyb
33,2010-07-22,938.218,950.209,950.21,932.02,1326602.0,cyb
34,2010-07-23,951.84,960.588,964.74,948.13,1721251.0,cyb
35,2010-07-26,962.76,966.154,966.73,954.76,1476035.0,cyb
36,2010-07-27,963.544,957.967,968.04,955.73,1361821.0,cyb
37,2010-07-28,955.188,972.534,972.53,954.52,1566182.0,cyb
38,2010-07-29,974.295,975.362,982.01,965.61,1794193.0,cyb
39,2010-07-30,971.663,968.431,971.66,955.92,1458486.0,cyb
40,2010-08-02,968.45,994.228,994.23,968.45,1810364.0,cyb
41,2010-08-03,995.195,975.645,996.26,975.64,1757058.0,cyb
42,2010-08-04,971.407,978.014,978.01,955.93,1446165.0,cyb
43,2010-08-05,980.27,987.351,998.1,978.33,1770399.0,cyb
44,2010-08-06,987.967,1011.39,1011.39,985.63,1899061.0,cyb
45,2010-08-09,1013.24,1032.34,1032.34,1013.24,2091995.0,cyb
46,2010-08-10,1031.978,993.992,1034.33,993.99,2177071.0,cyb
47,2010-08-11,991.278,1004.637,1006.45,990.94,1615078.0,cyb
48,2010-08-12,994.052,991.777,1007.58,987.98,1689189.0,cyb
49,2010-08-13,992.626,1007.206,1007.52,986.62,1471798.0,cyb
50,2010-08-16,1007.498,1030.217,1031.05,1005.05,1880400.0,cyb
51,2010-08-17,1031.075,1033.581,1036.82,1023.08,1800777.0,cyb
52,2010-08-18,1033.707,1026.722,1035.61,1018.5,1643501.0,cyb
53,2010-08-19,1026.983,1025.526,1033.25,1021.7,1624534.0,cyb
54,2010-08-20,1021.458,995.944,1022.45,993.56,1870224.0,cyb
55,2010-08-23,994.938,995.613,1001.18,991.52,1456014.0,cyb
56,2010-08-24,993.576,1004.985,1007.76,987.22,1365051.0,cyb
57,2010-08-25,1000.269,976.878,1002.33,976.555,1501342.72,cyb
58,2010-08-26,978.6,980.63,984.87,973.0,1288066.0,cyb
59,2010-08-27,978.51,999.46,1000.86,975.72,1216242.0,cyb
60,2010-08-30,1002.99,1024.93,1025.15,1002.99,1645412.0,cyb
61,2010-08-31,1020.75,1025.57,1029.8,1015.13,1534699.0,cyb
62,2010-09-01,1025.68,995.59,1029.81,987.59,1864362.0,cyb
63,2010-09-02,1001.6,1014.92,1018.28,996.52,1630857.0,cyb
64,2010-09-03,1017.64,1036.7,1045.21,1017.51,2289365.0,cyb
65,2010-09-06,1039.46,1010.76,1043.24,1007.43,1813080.0,cyb
66,2010-09-07,1010.11,1022.62,1022.62,1007.64,1284514.0,cyb
67,2010-09-08,1020.23,1026.33,1027.64,1016.84,1403818.0,cyb
68,2010-09-09,1029.11,1021.83,1040.67,1019.69,1959802.0,cyb
69,2010-09-10,1021.87,1034.94,1037.51,1016.19,1812290.0,cyb
70,2010-09-13,1034.39,1042.48,1045.39,1033.25,1667889.0,cyb
71,2010-09-14,1044.3,1031.22,1046.13,1028.77,1590231.0,cyb
72,2010-09-15,1029.52,990.1,1030.02,987.05,1818273.0,cyb
73,2010-09-16,989.49,972.6,994.95,964.53,1442058.0,cyb
74,2010-09-17,976.07,972.23,981.73,967.55,967840.0,cyb
75,2010-09-20,972.45,949.2,975.26,947.41,923658.0,cyb
76,2010-09-21,952.07,934.46,953.83,930.25,835858.0,cyb
77,2010-09-27,936.21,950.67,951.84,930.86,892936.0,cyb
78,2010-09-28,949.63,942.05,949.89,939.63,939433.0,cyb
79,2010-09-29,941.27,926.76,944.17,924.41,831735.0,cyb
80,2010-09-30,923.83,942.54,942.54,921.36,699737.0,cyb
