,date,open,close,high,low,volume,code
0,2000-01-04,1.418,1.481,1.486,1.418,19612.89,600063
1,2000-01-05,1.479,1.481,1.54,1.458,22568.28,600063
2,2000-01-06,1.481,1.533,1.54,1.465,18345.63,600063
3,2000-01-07,1.543,1.625,1.685,1.54,66077.14,600063
4,2000-01-10,1.63,1.625,1.647,1.561,36694.38,600063
5,2000-01-11,1.621,1.533,1.621,1.491,19203.4,600063
6,2000-01-12,1.517,1.46,1.557,1.451,13470.17,600063
7,2000-01-13,1.465,1.491,1.526,1.451,13554.57,600063
8,2000-01-14,1.502,1.462,1.512,1.448,5851.2,600063
9,2000-01-17,1.457,1.5,1.507,1.431,6407.63,600063
10,2000-01-18,1.509,1.51,1.543,1.491,9639.79,600063
11,2000-01-19,1.505,1.554,1.569,1.505,13868.01,600063
12,2000-01-20,1.561,1.609,1.609,1.543,18784.37,600063
13,2000-01-21,1.6,1.557,1.616,1.552,15051.57,600063
14,2000-01-24,1.543,1.599,1.602,1.5,31431.47,600063
15,2000-01-25,1.609,1.557,1.613,1.526,10379.05,600063
16,2000-01-26,1.541,1.543,1.564,1.536,5188.75,600063
17,2000-01-27,1.578,1.665,1.694,1.561,51154.08,600063
18,2000-01-28,1.698,1.661,1.708,1.647,40586.74,600063
19,2000-02-14,1.699,1.802,1.803,1.699,83197.85,600063
20,2000-02-15,1.821,1.776,1.942,1.717,82810.5,600063
21,2000-02-16,1.765,1.76,1.812,1.699,47069.59,600063
22,2000-02-17,1.767,1.595,1.817,1.585,46912.64,600063
23,2000-02-18,1.58,1.651,1.665,1.526,33309.91,600063
24,2000-02-21,1.651,1.678,1.725,1.561,39493.97,600063
25,2000-02-22,1.696,1.59,1.704,1.587,15326.62,600063
26,2000-02-23,1.569,1.543,1.588,1.54,13042.14,600063
27,2000-02-24,1.547,1.569,1.574,1.543,8176.56,600063
28,2000-02-25,1.673,1.727,1.727,1.647,83901.83,600063
29,2000-02-28,1.812,1.841,1.9,1.743,217740.08,600063
30,2000-02-29,1.841,1.796,1.869,1.736,80252.91,600063
31,2000-03-01,1.8,1.847,1.864,1.758,74638.3,600063
32,2000-03-02,1.847,1.812,1.855,1.77,36375.6,600063
33,2000-03-03,1.821,1.795,1.841,1.769,42944.16,600063
34,2000-03-06,1.803,1.696,1.821,1.684,38900.39,600063
35,2000-03-07,1.678,1.71,1.711,1.651,38642.17,600063
36,2000-03-08,1.708,1.718,1.722,1.665,16546.45,600063
37,2000-03-09,1.718,1.694,1.72,1.682,13980.5,600063
38,2000-03-10,1.687,1.637,1.687,1.63,14650.86,600063
39,2000-03-13,1.632,1.656,1.665,1.616,14879.09,600063
40,2000-03-14,1.647,1.607,1.647,1.576,16945.09,600063
41,2000-03-15,1.613,1.651,1.696,1.613,10614.16,600063
